                        City  Year  Month  Average Temperature (celsius)  Max Temperature (celsius)  Min Temperature (celsius)  Average Wind Speed (m/s)  Total Precipitation (mm)  Max Snow Depth (cm)  Total Precipitation (mm)_ZScore
1294                 Звягель  2012     10                            8.8                       23.5                       -0.8                       1.6                    211.70                  0.7                         4.496874
1296                 Звягель  2012     12                           -5.4                        5.1                      -18.3                       1.6                    163.90                 35.0                         3.214427
1302            Нова Каховка  2012     12                            0.3                       15.1                      -18.0                       4.2                    121.90                  6.0                         2.087591
1306              Нова Ушиця  2012     10                            9.8                       26.8                       -0.4                       2.0                    129.80                  0.0                         2.299544
1308              Нова Ушиця  2012     12                           -5.4                        7.1                      -18.5                       2.4                    197.10                 34.0                         4.105165
1310            Новомиргород  2012     10                           10.8                       26.3                       -0.5                       1.9                    128.30                  3.0                         2.259300
1312            Новомиргород  2012     12                           -4.1                       10.9                      -21.4                       3.1                    129.70                 23.0                         2.296861
1316                   Овруч  2012     10                            8.3                       24.2                       -3.8                       1.2                    156.60                  3.0                         3.018573
1318                   Овруч  2012     12                           -5.4                        4.1                      -18.2                       1.3                    175.50                 42.0                         3.525649
1332                 Олевськ  2012     10                            8.3                       23.6                       -3.0                       2.1                    201.30                  0.0                         4.217848
1334                 Олевськ  2012     12                           -5.2                        5.2                      -17.7                       2.6                    152.70                 36.0                         2.913938
1344                 Полтава  2012     10                           10.9                       23.8                        0.1                       2.8                    142.40                  0.0                         2.637595
1349                 Прилуки  2012     10                            9.7                       24.1                       -0.9                       1.9                    119.20                  5.0                         2.015152
1361             Рава Руська  2012     10                            8.4                       22.5                       -1.2                       2.2                    155.20                  0.7                         2.981011
1364                   Рахів  2012      9                           15.2                       30.7                        6.7                       1.4                    127.40                  0.0                         2.235153
1365                   Рахів  2012     10                            9.7                       24.2                        0.2                       1.2                    161.60                  0.0                         3.152720
1366                   Рахів  2012     11                            4.5                       17.3                       -4.7                       1.1                    147.40                  0.0                         2.771742
1367                   Рахів  2012     12                           -1.4                        7.5                      -10.9                       1.2                    122.30                  8.0                         2.098323
1383                   Ромни  2012     10                            9.5                       23.5                       -2.6                       1.5                    193.40                  3.0                         4.005896
1391                   Сарни  2012      6                           17.9                       32.2                        3.0                       2.4                    149.40                  0.0                         2.825401
1393                   Сарни  2012      8                           19.1                       34.7                        7.0                       2.2                    165.40                  0.0                         3.254672
