                        City  Year  Month  Average Temperature (celsius)  Max Temperature (celsius)  Min Temperature (celsius)  Average Wind Speed (m/s)  Total Precipitation (mm)  Max Snow Depth (cm)  Total Precipitation (mm)_ZScore
10626               Чернівці  2020      5                           12.9                       28.4                        1.0                       3.6                    139.30                  0.0                         2.554423
10627               Чернівці  2020      6                           19.4                       29.4                        5.6                       3.0                    129.70                  0.0                         2.296861
10674              Шепетівка  2020      5                           11.1                       27.8                       -2.0                       2.2                    133.80                  0.0                         2.406861
10675              Шепетівка  2020      6                           19.3                       31.4                        5.4                       2.2                    164.70                  0.0                         3.235891
10743               Ай-Петрі  2021      1                           -0.9                        9.3                      -14.0                       3.6                    246.00                 34.0                         5.417124
10748               Ай-Петрі  2021      6                           13.5                       22.0                        5.8                       3.3                    340.70                  0.0                         7.957872
10754               Ай-Петрі  2021     12                            0.9                       11.5                      -15.8                       4.2                    216.60                 41.0                         4.628339
10760           Асканія Нова  2021      6                           20.2                       32.4                       11.8                       2.8                    134.60                  0.0                         2.428325
10772                 Бахмут  2021      6                           20.5                       33.4                       11.9                       1.6                    156.70                  0.0                         3.021256
10832              Бобринець  2021      6                           20.1                       32.8                        9.1                       2.3                    144.60                  0.0                         2.696619
10858                  Броди  2021      8                           17.6                       30.2                        7.4                       1.6                    136.70                  0.0                         2.484667
10859                  Броди  2021      9                           12.6                       25.3                        2.3                       2.0                    159.00                  0.0                         3.082963
10952               Гайворон  2021      6                           20.0                       32.6                        9.5                       1.8                    156.10                  0.0                         3.005158
10976              Генічеськ  2021      6                           21.7                       33.8                       14.2                       3.0                    132.40                  0.0                         2.369300
11000                 Дніпро  2021      6                           19.5                       33.3                        9.4                       3.7                    202.50                  0.0                         4.250044
11014               Дрогобич  2021      8                           17.6                       30.7                        4.6                       1.9                    129.00                  0.0                         2.278080
11025                 Дружба  2021      7                           22.0                       31.7                        9.2                       0.9                    166.70                  0.0                         3.289550
11047                Житомир  2021      5                           13.8                       23.1                        2.5                       1.5                    195.50                  0.0                         4.062238
11059               Жмеринка  2021      5                           13.5                       23.3                        3.1                       2.6                    123.30                  0.0                         2.125152
11072              Запоріжжя  2021      6                           20.6                       32.7                       11.5                       2.7                    234.60                  0.0                         5.111269
11109       Івано-Франківськ  2021      7                           21.6                       32.1                       11.1                       2.0                    153.00                  0.0                         2.921987
11120                 Ізмаїл  2021      6                           20.4                       32.6                       10.5                       2.5                    123.80                  0.0                         2.138567
11132                   Ізюм  2021      6                           20.7                       34.6                       11.0                       1.5                    162.20                  0.0                         3.168817
11146  Кам’янець-Подільський  2021      8                           19.0                       30.2                        9.0                       1.8                    169.70                  0.0                         3.370038
11156                   Керч  2021      6                           20.6                       29.5                       12.5                       3.3                    180.30                  0.0                         3.654430
11158                   Керч  2021      8                           24.0                       33.0                       17.2                       3.0                    224.30                  0.0                         4.834925
11192              Клепиніне  2021      6                           20.5                       31.9                       12.7                       2.3                    120.50                  0.0                         2.050030
11230                 Ковель  2021      8                           17.4                       29.6                        8.8                       1.6                    124.40                  0.0                         2.154665
11252            Комісарівка  2021      6                           19.9                       33.7                        9.3                       1.9                    145.00                  0.0                         2.707351
11290             Крем’янець  2021      8                           18.2                       30.1                       11.0                       1.5                    150.20                  0.0                         2.846864
11300             Кривий Ріг  2021      6                           19.9                       32.6                        9.2                       3.6                    136.50                  0.0                         2.479301
11324                 Лозова  2021      6                           19.7                       32.6                        9.8                       2.9                    152.20                  0.0                         2.900523
11350                  Луцьк  2021      8                           18.0                       30.8                        9.5                       2.0                    139.30                  0.0                         2.554423
11362                  Львів  2021      8                           17.3                       30.1                        7.3                       1.8                    127.90                  0.0                         2.248568
11371              Любашівка  2021      5                           14.1                       25.5                        2.3                       2.6                    124.90                  0.0                         2.168080
11384              Маріуполь  2021      6                           21.2                       29.2                       12.1                       4.2                    201.80                  0.0                         4.231263
11385              Маріуполь  2021      7                           25.6                       35.8                       15.1                       3.7                    172.20                  0.0                         3.437112
11456           Нова Каховка  2021      6                           20.6                       33.9                       11.2                       2.1                    143.10                  0.0                         2.656375
11469             Нова Ушиця  2021      7                           22.3                       31.4                       12.0                       1.4                    141.00                  0.0                         2.600033
11528                Полтава  2021      6                           20.2                       32.8                        8.6                       2.5                    134.90                  0.0                         2.436374
11552                 Пришиб  2021      6                           20.2                       32.5                       12.0                       2.3                    152.10                  0.0                         2.897840
11572                  Рахів  2021      2                           -0.3                       15.8                      -13.4                       0.5                    145.20                 15.0                         2.712717
11575                  Рахів  2021      5                           12.6                       27.4                        0.6                       0.8                    147.80                  0.0                         2.782474
11577                  Рахів  2021      7                           20.5                       31.5                       12.0                       0.5                    147.30                  0.0                         2.769059
11578                  Рахів  2021      8                           17.6                       29.4                        8.3                       0.5                    137.70                  0.0                         2.511496
11582                  Рахів  2021     12                           -0.6                        6.2                      -16.0                       0.7                    143.80                 23.0                         2.675156
11636                Селятин  2021      6                           14.5                       29.2                        3.9                       1.0                    151.40                  0.0                         2.879060
11673               Славське  2021      7                           19.1                       30.5                        9.4                       1.0                    141.40                  0.0                         2.610765
11674               Славське  2021      8                           15.4                       28.3                        6.9                       1.0                    126.30                  0.0                         2.205641
11697              Тернопіль  2021      7                           21.6                       32.0                       12.6                       2.9                    149.40                  0.0                         2.825401
11721                  Турка  2021      7                           19.2                       30.3                        9.0                       1.3                    123.70                  0.0                         2.135884
11722                  Турка  2021      8                           15.5                       28.1                        5.0                       1.3                    126.20                  0.0                         2.202958
11756               Феодосія  2021      6                           20.7                       29.6                       13.8                       3.0                    120.70                  0.0                         2.055396
11791               Хмільник  2021      5                           13.6                       22.9                        1.8                       1.9                    118.70                  0.0                         2.001737
11806           Хмельницький  2021      8                           18.3                       28.5                       10.6                       2.5                    129.90                  0.0                         2.302227
11811                   Хуст  2021      1                           -0.1                        6.6                      -12.0                       1.1                    139.20                 20.0                         2.551740
11812                   Хуст  2021      2                            1.3                       15.1                      -11.8                       1.2                    140.10                 12.0                         2.575887
11815                   Хуст  2021      5                           14.2                       28.2                        2.9                       1.3                    127.20                  0.0                         2.229787
11817                   Хуст  2021      7                           23.1                       33.5                       10.2                       1.1                    130.10                  0.0                         2.307593
11818                   Хуст  2021      8                           19.3                       32.0                       10.0                       1.1                    131.60                  0.0                         2.347837
11822                   Хуст  2021     12                            0.7                        6.6                      -10.2                       1.0                    144.20                 13.0                         2.685888
11828                Чаплине  2021      6                           19.8                       33.0                       11.2                       1.4                    201.50                  0.0                         4.223214
11829                Чаплине  2021      7                           24.0                       34.0                       13.6                       1.3                    132.00                  0.0                         2.358569
11948                   Ялта  2021      6                           20.4                       29.6                       13.6                       1.3                    164.80                  0.0                         3.238574
11954                   Ялта  2021     12                            8.0                       14.6                       -5.9                       1.7                    150.20                  9.0                         2.846864
11956               Ай-Петрі  2022      2                           -0.9                        6.4                      -11.0                       3.1                    130.30                 33.0                         2.312958
12022              Володимир  2022      9                           11.7                       21.2                        0.4                       1.9                    135.20                  0.0                         2.444423
12082                Житомир  2022      9                           12.3                       20.5                        1.8                       1.0                    131.20                  0.0                         2.337105
12094              Запоріжжя  2022      5                           17.7                       30.4                        5.0                       2.0                    212.50                  0.0                         4.518338
12116       Івано-Франківськ  2022      9                           12.7                       24.1                        3.0                       2.2                    180.70                  0.0                         3.665162
12197                Конотоп  2022      4                            7.6                       20.4                       -1.9                       2.7                    156.00                  4.0                         3.002475
12239                  Лубни  2022      7                           20.0                       32.3                       10.1                       1.6                    136.40                  0.0                         2.476618
12257                  Львів  2022      9                           12.3                       21.3                        2.4                       1.9                    135.80                  0.0                         2.460520
12366                  Рахів  2022      1                           -2.9                       10.0                      -18.4                       0.8                    200.80                 47.0                         4.204434
12378                  Рівне  2022      9                           11.4                       20.4                        2.5                       2.8                    155.50                  0.0                         2.989060
12406           Світловодськ  2022      9                           14.4                       25.3                        6.3                       2.0                    122.70                  0.0                         2.109055
12423            Сімферополь  2022      6                           20.6                       31.5                       13.1                       4.3                    140.30                  0.0                         2.581253
12437                   Суми  2022      4                           10.1                       19.6                        1.3                       4.0                    123.60                  1.0                         2.133201
12452              Тернопіль  2022      7                           20.1                       31.0                       10.4                       3.4                    119.00                  0.0                         2.009786
12470                Ужгород  2022      9                           14.9                       26.9                        4.3                       1.3                    179.80                  0.0                         3.641015
12516                   Хуст  2022      1                           -1.8                       10.2                      -18.0                       1.2                    125.20                 29.0                         2.176128
12581              Шепетівка  2022      9                           11.7                       20.2                        3.7                       1.8                    127.80                  0.0                         2.245885
